"","ID","band_num","cohort","caught_as","caught","disappeared","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde"
"1270","725028-rwWR","017-25028","1992","Nestling","11-Jan-93","16-Nov-97","Died",6,1,1,"574741-BRN",NA,"626849-WYB",2,"433384-YRG",5,"F",22,16,7
"1271","725029-rwNA","017-25029","1992","Nestling","11-Jan-93","14-Jul-95","Died",6,1,1,"574741-BRN",NA,"626849-WYB",2,"626883-BboG",2,"M",0,0,0
"1272","725030-gwWW","017-25030","1992","Nestling","11-Jan-93","11-Jan-93","Died",NA,0,0,"596785-MYM",NA,"596688-OynB",4,"626907-WBB",2,"M",0,0,0
"1273","725031-gwRR","017-25031","1992","Nestling","11-Jan-93","11-Jan-93","Died",NA,0,0,"596785-MYM",NA,"596688-OynB",4,"596688-OynB",4,"M",0,0,0
"1274","725032-gwAM","017-25032","1992","Nestling","11-Jan-93","11-Jan-93","Died",NA,0,0,"596785-MYM",NA,"596688-OynB",4,"596688-OynB",4,"M",0,0,0
"1275","725033-gwWR","017-25033","1992","Nestling","11-Jan-93","11-Jan-93","Died",NA,0,0,"696520-OBA",1,"626656-GogO",3,"626656-GogO",3,"F",0,0,0
"1276","725034-gwNN","017-25034","1992","Nestling","11-Jan-93","11-Jan-93","Died",NA,0,0,"696520-OBA",1,"626656-GogO",3,NA,NA,"M",0,0,0
"1277","725035-gwYY","017-25035","1992","Nestling","11-Jan-93","11-Jan-93","Died",NA,0,0,"696520-OBA",1,"626656-GogO",3,"626656-GogO",3,"M",0,0,0
"1278","725042-AAW2","017-25042","1992","Juvenile","13-Jan-93","7-Mar-93","Dispersedoutside",NA,1,1,"725045-CWA",NA,"596620-BCR",4,"776395-WYR",NA,"F",0,0,0
"1279","725043-AOO","017-25043","1992","Fledgling","13-Jan-93","7-Oct-93","Died",6,1,1,"725045-CWA",NA,"596620-BCR",4,"776395-WYR",NA,"M",0,0,0
"1280","725044-AWG","017-25044","1992","Fledgling","13-Jan-93","13-Aug-96","Died",6,1,1,"725045-CWA",NA,"596620-BCR",4,"776395-WYR",NA,"M",2,1,1
"1281","725047-ynMM","017-25047","1992","Nestling","13-Jan-93","20-Dec-93","Died",6,1,1,"696529-YanG",NA,"626927-OWR",NA,NA,NA,"M",0,0,0
"1282","725048-ynON","017-25048","1992","Nestling","13-Jan-93","6-Jun-93","Died",NA,1,1,"696529-YanG",NA,"626927-OWR",NA,NA,NA,"F",0,0,0
"1283","725049-ynYA2","017-25049","1992","Nestling","13-Jan-93","21-Feb-93","Dispersedoutside",NA,1,1,"696529-YanG",NA,"626927-OWR",NA,NA,NA,"F",0,0,0
