ID,band_num,cohort,caught_as,caught,disappeared,fate,outside_area,fledged,independent,mum,Mage,dad_soc,Sage,dad_bio,Bage,sex,LRStot,LRSfledge,LRSinde
A30461-ArwM,01A-30461,2013,Nestling,3-Dec-13,28-Mar-17,Died,2,1,1,982361-RnoG,3,982154-OnwA,4,982154-OnwA,4,F,14,14,8
A30462-BrwB,01A-30462,2013,Nestling,3-Dec-13,8-Dec-13,Died,,1,0,982361-RnoG,3,982154-OnwA,4,982154-OnwA,4,M,0,0,0
A30463-WrwR,01A-30463,2013,Nestling,3-Dec-13,21-Jan-15,Died,2,1,1,982361-RnoG,3,982154-OnwA,4,898797-YweY,8,F,4,0,0
A30464-OTM,01A-30464,2013,Nestling,3-Dec-13,9-Dec-13,Died,,1,0,982607-WOB,3,982099-NwgW,4,982098-GwgY,4,F,0,0,0
A30465-GTY,01A-30465,2013,Nestling,3-Dec-13,6-Jul-15,Died,2,1,1,982607-WOB,3,982099-NwgW,4,A58396-BOR,0+,F,0,0,0
A30468-RTR,01A-30468,2013,Nestling,4-Dec-13,19-Dec-13,Died,,1,0,A30467-NNG,1+,A30466-YBY,2+,982380-AawR,3,M,0,0,0
A30469-OTB,01A-30469,2013,Nestling,4-Dec-13,2-Nov-14,Unknown,,1,1,A30467-NNG,1+,A30466-YBY,2+,A30466-YBY,2+,F,0,0,0
A30470-MTN,01A-30470,2013,Nestling,4-Dec-13,29-Oct-16,Died,2,1,1,A30467-NNG,1+,A30466-YBY,2+,A30466-YBY,2+,F,3,3,2
A30471-OTR,01A-30471,2013,Fledgling,4-Dec-13,19-Jun-18,Died,6,1,1,A30141-grMA,1,A30254-ynMO,1,899199-OgoY,8,M,7,5,2
A30472-BTA,01A-30472,2013,Fledgling,4-Dec-13,11-May-14,Died,,1,1,A30141-grMA,1,A30254-ynMO,1,899199-OgoY,8,M,0,0,0
A30473-WTW,01A-30473,2013,Fledgling,4-Dec-13,11-Jan-14,Unknown,,1,1,A30141-grMA,1,A30254-ynMO,1,899199-OgoY,8,F,0,0,0
A30474-BTR,01A-30474,2013,Nestling,4-Dec-13,16-Dec-13,Died,,1,0,982189-RNR,4,899704-raNG,6,899704-raNG,6,F,0,0,0
A30475-ATM,01A-30475,2013,Nestling,4-Dec-13,14-Mar-15,Died,2,1,1,982189-RNR,4,899704-raNG,6,899704-raNG,6,F,3,3,0
A30476-AynA,01A-30476,2013,Nestling,6-Dec-13,19-May-14,Died,,1,1,A30037-T__,2,982042-RraN,4,982042-RraN,4,F,0,0,0
A30477-BynM,01A-30477,2013,Nestling,6-Dec-13,12-Dec-13,Died,,1,0,A30037-T__,2,982042-RraN,4,982042-RraN,4,M,0,0,0
A30478-GynR,01A-30478,2013,Nestling,6-Dec-13,12-Dec-13,Died,,1,0,A30037-T__,2,982042-RraN,4,982042-RraN,4,M,0,0,0
A30479-AgbN,01A-30479,2013,Nestling,6-Dec-13,22-May-14,Died,,1,1,A30012-OAA,2,982672-nyMM,2,982863-nyMO,2,F,0,0,0
A30480-MgbR,01A-30480,2013,Nestling,6-Dec-13,4-Jul-14,Died,,1,1,A30012-OAA,2,982672-nyMM,2,982863-nyMO,2,F,0,0,0
A30481-WgbW,01A-30481,2013,Nestling,6-Dec-13,19-Dec-13,Died,,1,0,A30012-OAA,2,982672-nyMM,2,982672-nyMM,2,U,0,0,0
A30482-YgbG,01A-30482,2013,Nestling,6-Dec-13,29-Oct-15,Died,6,1,1,A30012-OAA,2,982672-nyMM,2,982863-nyMO,2,M,0,0,0
A30483-GgrG,01A-30483,2013,Nestling,6-Dec-13,7-Jun-14,Died,,1,1,A30215-Maw,2,982380-AawR,3,982286-WryN,3,M,0,0,0
A30484-BgrM,01A-30484,2013,Nestling,6-Dec-13,7-Jun-14,Died,,1,1,A30215-Maw,2,982380-AawR,3,982286-WryN,3,M,0,0,0
A30485-OgrN,01A-30485,2013,Nestling,6-Dec-13,11-Dec-13,Died,,1,0,A30215-Maw,2,982380-AawR,3,982380-AawR,3,U,0,0,0
A30486-YgrA,01A-30486,2013,Nestling,6-Dec-13,11-Dec-13,Died,,1,0,A30215-Maw,2,982380-AawR,3,982286-WryN,3,M,0,0,0
A30487-OrbO,01A-30487,2013,Nestling,9-Dec-13,9-Mar-18,Died,2,1,1,982066-YwgB,4,982072-GnwG,4,899704-raNG,6,F,18,15,12
A30488-MrbW2,01A-30488,2013,Nestling,9-Dec-13,17-Dec-13,Died,,1,0,982066-YwgB,4,982072-GnwG,4,899704-raNG,6,F,0,0,0
A30489-NrbY2,01A-30489,2013,Nestling,9-Dec-13,17-Dec-13,Died,,1,0,982066-YwgB,4,982072-GnwG,4,899704-raNG,6,M,0,0,0
A30490-BrwN,01A-30490,2013,Nestling,9-Dec-13,9-Jan-14,Unknown,,1,0,A30171-ynWA,1,982074-NnwA,4,982074-NnwA,4,M,0,0,0
A30491-MrwR,01A-30491,2013,Nestling,9-Dec-13,4-Apr-14,Unknown,,1,1,A30171-ynWA,1,982074-NnwA,4,982074-NnwA,4,F,0,0,0
A30492-WrwO,01A-30492,2013,Nestling,9-Dec-13,19-Jan-14,Unknown,,1,1,A30171-ynWA,1,982074-NnwA,4,982074-NnwA,4,M,0,0,0
A30493-YynM,01A-30493,2013,Nestling,9-Dec-13,,Living,6,1,1,A30316-ORO,1,982598-MnoB,3,982598-MnoB,3,M,7,5,3
A30494-RynA2,01A-30494,2013,Nestling,9-Dec-13,2-Jun-14,Died,,1,1,A30316-ORO,1,982598-MnoB,3,982598-MnoB,3,M,0,0,0
A30495-MynY,01A-30495,2013,Nestling,9-Dec-13,28-Oct-14,Unknown,,1,1,982804-awRM,2,899972-rnWR,5,982349-OarN,3,F,0,0,0
A30496-ArbA,01A-30496,2013,Nestling,9-Dec-13,14-Dec-13,Died,,1,0,982771-WYG,3,982879-gnGR,2,A58138-NBO,0+,F,0,0,0
