"","ID","cohort","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde","lifespan","lifespanM","lifespanB","lifespanS","MageM","BageM","SageM","MageREL","BageREL","SageREL","EP","Nest.ID.mother","Jincube","help.cat","incest","weight","weight.age","EPb","WPb","NestID","help.ep"
"4755","982447-NwnG",2010,"Died",NA,1,0,"982169-GWA",1,"899869-arWN",2,"899869-arWN",2,"F",0,0,0,1,3,4,4,1.46153846153846,2.25,2.05555555555556,-0.461538461538461,-0.25,-0.0555555555555554,"no","GWA_5379",0.573770491803279,"one","No",5.8,6,0,1,"GWA_5379",NA
"4756","982448-MwnM",2010,"Died",NA,1,1,"982169-GWA",1,"899869-arWN",2,"899869-arWN",2,"F",0,0,0,1,3,4,4,1.46153846153846,2.25,2.05555555555556,-0.461538461538461,-0.25,-0.0555555555555554,"no","GWA_5379",0.573770491803279,"one","No",6.1,6,0,1,"GWA_5379",NA
"4757","982449-BwnO",2010,"Died",NA,1,1,"982169-GWA",1,"899869-arWN",2,"899869-arWN",2,"F",0,0,0,1,3,4,4,1.46153846153846,2.25,2.05555555555556,-0.461538461538461,-0.25,-0.0555555555555554,"no","GWA_5379",0.573770491803279,"one","No",5.7,6,0,1,"GWA_5379",NA
"4758","982450-AryW",2010,"Died",6,1,1,"982188-BNW",1,"982068-NwgR",1,"899264-MgoY",5,"M",0,0,0,2,2,8,8,1,4.05,1.66666666666667,0,0.95,-0.666666666666667,"yes","BNW_5332",0.562841530054645,"none","No",9.1,8,1,0,"BNW_5332",NA
"4759","982451-GryB",2010,"Died",NA,1,0,"982188-BNW",1,"982068-NwgR",1,"899264-MgoY",5,"M",0,0,0,1,2,8,8,1,4.05,1.66666666666667,0,0.95,-0.666666666666667,"yes","BNW_5332",0.562841530054645,"none","No",8,8,1,0,"BNW_5332",NA
"4760","982452-MryO",2010,"Died",6,1,1,"982188-BNW",1,"982068-NwgR",1,"899264-MgoY",5,"M",1,0,0,1,2,8,8,1,4.05,1.66666666666667,0,0.95,-0.666666666666667,"yes","BNW_5332",0.562841530054645,"none","No",8.3,8,1,0,"BNW_5332",NA
"4761","982453-YryN",2010,"Died",NA,1,0,"982188-BNW",1,"982068-NwgR",1,"899264-MgoY",5,"M",0,0,0,1,2,8,8,1,4.05,1.66666666666667,0,0.95,-0.666666666666667,"yes","BNW_5332",0.562841530054645,"none","No",7.7,8,1,0,"BNW_5332",NA
"4762","982454-OngW",2010,"Died",6,1,1,"982025-MnwB",1,"981905-NwbO",1,"981905-NwbO",1,"M",3,3,3,2,2,2,2,1,1,1,0,0,0,"no","MnwB_5396",0.579234972677596,"none","No",6.7,7,0,1,"MnwB_5396",NA
"4763","982455-RngA",2010,"Died",NA,1,0,"982025-MnwB",1,"981905-NwbO",1,"981905-NwbO",1,"M",0,0,0,1,2,2,2,1,1,1,0,0,0,"no","MnwB_5396",0.579234972677596,"none","No",6.7,7,0,1,"MnwB_5396",NA
"4764","982456-YngN",2010,"Died",NA,1,1,"982025-MnwB",1,"981905-NwbO",1,"981905-NwbO",1,"F",0,0,0,2,2,2,2,1,1,1,0,0,0,"no","MnwB_5396",0.579234972677596,"none","No",6.3,7,0,1,"MnwB_5396",NA
"4765","982457-WngM",2010,"Died",NA,1,0,"982025-MnwB",1,"981905-NwbO",1,"981905-NwbO",1,"M",0,0,0,1,2,2,2,1,1,1,0,0,0,"no","MnwB_5396",0.579234972677596,"none","No",7.4,7,0,1,"MnwB_5396",NA
"4766","982458-OryA",2010,"Died",NA,1,0,"982171-BNY",1,"982192-MYO",NA,"899788-MOR",NA,"F",0,0,0,1,2,NA,NA,1,NA,NA,0,NA,NA,"yes","BNY_5335",0.584699453551913,"none","No",8,8,1,0,"BNY_5335",NA
"4767","982459-RryW",2010,"Died",NA,1,0,"982171-BNY",1,"982192-MYO",NA,"982192-MYO",NA,"F",0,0,0,1,2,NA,NA,1,NA,NA,0,NA,NA,"no","BNY_5335",0.584699453551913,"none","No",8.4,8,0,1,"BNY_5335",NA
"4768","982460-NawB",2010,"Died",NA,0,0,"981882-OOM",2,"899965-arNO",2,"898377-onWA",6,"M",0,0,0,1,6,10,4,2.9375,4.42307692307692,2,-0.9375,1.57692307692308,0,"yes","OOM_5456",0.595628415300546,"none","No",6.2,6,1,0,"OOM_5456",NA
"4769","982461-MawO",2010,"Died",NA,0,0,"981882-OOM",2,"899965-arNO",2,"899965-arNO",2,"M",0,0,0,1,6,4,4,2.9375,2.5,2,-0.9375,-0.5,0,"no","OOM_5456",0.595628415300546,"none","No",5.8,6,0,1,"OOM_5456",NA
"4770","982462-YawG",2010,"Died",NA,0,0,"981882-OOM",2,"899965-arNO",2,"898377-onWA",6,"F",0,0,0,1,6,10,4,2.9375,4.42307692307692,2,-0.9375,1.57692307692308,0,"yes","OOM_5456",0.595628415300546,"none","No",6,6,1,0,"OOM_5456",NA
"4771","982463-RawA",2010,"Died",NA,0,0,"981882-OOM",2,"899965-arNO",2,"898377-onWA",6,"M",0,0,0,1,6,10,4,2.9375,4.42307692307692,2,-0.9375,1.57692307692308,0,"yes","OOM_5456",0.595628415300546,"none","No",5.2,6,1,0,"OOM_5456",NA
